5	0	1712	0.1875
5	0	1709	0.1875
5	0	1908	0.1875
5	1	1829	0.1875
5	1	1702	0.1875
5	1	1729	0.1875
5	2	1874	0.1875
5	2	1847	0.1875
5	2	1648	0.1875
5	3	1913	0.1875
5	3	1872	0.1875
5	3	1904	0.1875
5	4	1715	0.1875
5	4	1650	0.1875
5	4	1758	0.1875
5	8	1884	0.1875
5	8	1843	0.1875
5	8	1889	0.1875
5	16	1817	0.1875
5	16	1823	0.1875
5	16	1746	0.1875
10	0	4509	95.75
10	0	4989	91.35
10	0	4969	98.25
10	1	4541	90.75
10	1	4600	94.75
10	1	4608	95.25
10	2	3483	90.75
10	2	3576	99.85
10	2	3516	93.25
10	3	3193	94.75
10	3	3383	94.75
10	3	3209	90.75
10	4	2978	91.25
10	4	2818	96.85
10	4	2791	99.75
10	8	2639	91.35
10	8	2577	90.85
10	8	2420	90.95
10	16	2458	94.95
10	16	2410	94.75
10	16	2388	90.75
20	0	21182	611.2
20	0	22089	595.1
20	0	22156	625.6
20	1	21517	662.1
20	1	20861	658.1
20	1	20056	546.6
20	2	13270	652.7
20	2	13484	563.2
20	2	13204	601.6
20	3	9985	601.2
20	3	10581	616.2
20	3	9678	577.6
20	4	8360	598.2
20	4	8221	616.2
20	4	8327	578.2
20	8	5991	647.0
20	8	6078	597.3
20	8	6020	677.9
20	16	4808	653.1
20	16	4736	647.1
20	16	4983	626.7
50	0	132444	1993.95
50	0	135835	1931.95
50	0	135387	1846.85
50	1	140235	1887.35
50	1	141524	1949.35
50	1	135774	1899.35
50	2	76905	1966.15
50	2	74421	1946.45
50	2	74857	1911.35
50	3	52734	1894.75
50	3	52483	1973.45
50	3	52592	1905.35
50	4	41675	1952.45
50	4	41881	1935.65
50	4	41492	1993.15
50	8	23670	1922.45
50	8	23772	2081.95
50	8	24002	2024.65
50	16	14706	2197.75
50	16	14711	2135.95
50	16	14929	2146.05
100	0	64832	60.5475
100	0	63767	66.0475
100	0	65425	73.44749999999999
100	1	65309	64.5475
100	1	64760	96.94749999999999
100	1	61402	100.14750000000001
100	2	36195	68.5475
100	2	35828	62.1475
100	2	36128	83.14750000000001
100	3	25606	87.0475
100	3	25692	66.5475
100	3	25573	81.14750000000001
100	4	20058	91.44749999999999
100	4	21628	98.7475
100	4	19975	78.5475
100	8	11446	133.5475
100	8	11609	158.1475
100	8	11554	153.0475
100	16	7377	223.9475
100	16	7608	201.0475
100	16	7743	216.3475
100	0	567950	4192.7474999999995
100	0	574958	4099.4475
100	0	599741	4019.4475
100	1	586959	3967.1475
100	1	599619	4085.0475
100	1	607258	4018.1475
100	2	308586	4121.8475
100	2	306088	4051.5475
100	2	301150	4048.9475
100	3	206980	4130.547500000001
100	3	208032	4169.3475
100	3	208515	4226.6475
100	4	157760	4192.6475
100	4	158245	4233.4475
100	4	157695	4240.547500000001
100	8	80341	4454.2474999999995
100	8	78566	4561.7474999999995
100	8	80213	4436.9475
100	16	43501	4805.7474999999995
100	16	43198	4809.047500000001
100	16	43397	4745.4475
200	0	2369339	8465.4
200	0	2388322	8426.9
200	0	2417870	8454.5
200	1	2368062	8320.9
200	1	2354160	8426.4
200	1	2448795	8343.4
200	2	1214362	8599.6
200	2	1223398	8686.0
200	2	1193548	8621.4
200	3	795857	8953.1
200	3	794773	8920.3
200	3	794912	8983.1
200	4	599829	9110.9
200	4	593292	9305.3
200	4	592782	9211.6
200	8	294451	9742.2
200	8	293621	9705.3
200	8	306500	9663.8
200	16	146560	10371.2
200	16	151305	10394.4
200	16	150259	10367.3
